"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\CodigoVerificacionDTO.cs", "C#", 0, 13, 0, 0, 0, 2, 15
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\CodigosVerificacionDTO.cs", "C#", 0, 14, 0, 0, 0, 4, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\ContactanosDTO.cs", "C#", 0, 16, 0, 0, 0, 5, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\CrearChatDTO.cs", "C#", 0, 14, 0, 0, 0, 2, 16
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\CrearMensajeDTO.cs", "C#", 0, 14, 0, 0, 0, 2, 16
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\DTO.csproj", "XML", 7, 0, 0, 0, 0, 3, 10
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\EnviarCorreoSoporteDTO.cs", "C#", 0, 16, 0, 0, 0, 2, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\EnviarCorreoVerificacionDTO.cs", "C#", 0, 14, 0, 0, 0, 2, 16
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\EstadosDTO.cs", "C#", 0, 13, 0, 0, 0, 3, 16
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\EstadosReporteDTO.cs", "C#", 0, 13, 0, 0, 0, 3, 16
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\FavoritosDTO.cs", "C#", 0, 14, 0, 0, 0, 4, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DTO\FotosPublicacionesDTO.cs", "C#", 0, 15, 0, 0, 0, 5, 20
